课程名称,课程ID,课程学分,结业条件
人力资源规划的实施步骤,HRM011002,3.5,课程评估
人才盘点报告呈现与应用,HRM071403,1.5,课程评估
人才盘点六步法,HRM071401,2,课程评估
人才辨识的评价方法,HRM071402,1.5,课程评估
深入学习贯彻党的十九届四中全会精神（PC版）,8e6c9022bda548efad43d98c9e460428,2,课程评估
“不忘初心、牢记使命”主题教育,PL201909,2,课后测试
绩效能力提升（二）,6bed566dc8164aac892d301e7f598a2a,1,课程评估
北京地区劳动争议最新裁审规则——加班及年假,HRM060501,1,课后测试
北京地区劳动争议最新裁审规则——试用期及合同解除,HRM060502,1.5,课后测试
北京地区劳动争议最新裁审规则——调岗调薪,HRM060503,1,课后测试
北京地区劳动争议最新裁审规则——劳动争议及仲裁,HRM060504,1,课后测试
招聘中的法律风险与应对策略,HRM060601,2.5,课后测试
加班及同工同酬如何处理,HRM060602,1.5,课后测试
不做背锅侠，工伤争议的注意要点,HRM060603,1.5,课后测试
劳动合同热点难点问题及处理技巧,HRM060604,2,课后测试
劳动争议仲裁诉讼技巧及难点问题处理,HRM060605,1.5,课后测试
招聘基础知识,8bdf9409750049d6bd3e878409cb7d15,1.5,课程评估
组织与流程的基础知识及其理解,d6db765a05954bd4a6c733e9e13e96f8,2.5,课程评估
绩效能力提升（一）,5b3cb7920c2e48b4852f1c97b63e44d9,1.5,课程评估
招聘法规,efe620dcf9284c298c05e8df2268666b,1,课程评估
人力资源计划管理基础知识,b9e7b2bf891b457097510c92f2c894a9,1,课程评估
2019年集团职位与任职资格政策串讲,e86082ad57df4e418caeec43b66a67d7,1,课程评估
裁员十问：如何防控裁员的法律风险,HRM060401,2.5,课后测试
解聘十问：如何降低解聘的风险和成本,HRM060402,2,课后测试
培训与发展知识串讲,449facb3cb9d44d09be0b168643a2d8a,3,课程评估
初始期三支柱体系搭建关键点解析,HRM071307,1,课后测试
成长期三支柱体系搭建关键点解析,HRM071308,2.5,课后测试
薪酬管理基础知识串讲(一),14dc09bfd70d49ebba76b9390aee3ac4,0.5,课程评估
薪酬管理基础知识串讲(二),24053ace6a7748b3a811debd18068793,1,课程评估
薪酬管理基础知识串讲(三),b534121dbd92463098d87f6346f0a843,1,课程评估
习近平总书记两会讲话精神,PL201901,1.5,课后测试
总理政府工作报告关于加强政府自身建设的新举措,PL201902,1.5,课后测试
以保障和改善民生为重点,PL201903,2.5,课后测试
优化营商环境，打造良好发展软环境,PL201904,1.5,课后测试
坚持引进来和走出去并重,PL201905,1.5,课后测试
深化推进供给侧结构性改革,PL201906,1.5,课后测试
谱写中国经济新篇章,PL201907,1.5,课后测试
推动改革与法治协调发展,PL201908,1.5,课后测试
面试读心,HRM021205,0.5,课程评估
《应急救护技能普及》,8fa1d7ef59ae4ed5b22cdecbfb0d275c,2,课程评估
简历识人,HRM021204,0.5,课后测试
做好HRSSC不简单,HRM071306,1.5,课后测试
HRBP的业务诊断技能,HRM071301,1,课后测试
HRBP与业务主管沟通绝招,HRM071302,1.5,课后测试
HRBP与员工沟通技能,HRM071303,1.5,课后测试
优秀COE一定要有的分析判断能力,HRM071304,1.5,课后测试
HRCOE的项目管理技能,HRM071305,1,课后测试
靠谱面试官的自我修炼,HRM021301,1,课后测试
校招中如何快速识别关键胜任力,HRM021302,1.5,课后测试
压力面试与情商考察技巧,HRM021303,0.5,课后测试
闻声识人,HRM021203,0.5,课后测试
人才盘点开始前，你必须要知道的事,HRM071201,0.5,课后测试
人才盘点进行中：闭门盘点的操作要点,HRM071202,0.5,课后测试
人才盘点进行中：如何组织一场开门盘点,HRM071203,1,课后测试
人才盘点后到底该做什么,HRM071204,1.5,课后测试
行为举止识人,HRM021202,0.5,课后测试
痕迹识人术,HRM021201,1,课后测试
校招的昨天和今天——用户体验至上做校招,HRM021101,0.5,课后测试
校招运营宝典——执行、筹备和收尾,HRM021102,1.5,课后测试
校招宣传难题怎么破,HRM021103,0.5,课后测试
练就火眼金睛 ，校招供应商选择不再难,HRM021104,0.5,课后测试
互联网公司校招新玩法,HRM021105,0.5,课后测试
长线校招——提升效率的金钥匙,HRM021106,0.5,课后测试
向世界500强学绩效管理,HRM041401,4,课程评估
中国改革为什么能成功——纪念改革开放40周年,PL201804,2,课后测试
薪酬管理的定义与特性,HRM050601,0.5,课后测试
薪酬管理与设计的理念,HRM050602,1,课后测试
常见的薪酬模式,HRM050603,1,课后测试
如何设计提高薪酬的公平性,HRM050604,1,课后测试
外部薪资调查与应用,HRM050605,1,课后测试
提高薪酬激励性的基本思路,HRM050606,1,课后测试
薪酬设计“6+1”之诊断分析,HRM050501,0.5,课后测试
薪酬设计“6+1”之七步成诗,HRM050502,2.5,课后测试
代替KPI的管理利器：OKR目标管理法,LTC022201,3,课后测试
知行合一——行动学习的核心原理及主张,HRM041201,1.5,课程评估
要想行动学习能成功，这些你得先了解,HRM041202,0.5,课程评估
开展一场行动学习，你得会这么做,HRM041203,1.5,课程评估
HRBP的角色定位与思维模式,HRM090101,1.5,课程评估
HRBP如何与业务建立伙伴关系,HRM090102,1,课程评估
HRBP，你是否会分析问题、改善问题？,HRM090103,1,课程评估
组织经验萃取基础与注意要点,HRM041101,0.5,课程评估
四大名萃—组织经验萃取的关键角色注意事项,HRM041102,0.5,课程评估
组织萃取师实操与体验训练,HRM041103,1.5,课程评估
2018年政府工作报告解读(上),PL201801,1,课程评估
2018年政府工作报告解读(中),PL201802,1,课程评估
2018年政府工作报告解读(下),PL201803,1,课程评估
弟子规,df83be618b674939a7a18746fdd33ebf,14.5,课程评估
HR才懂面试？直线经理更得要懂,128b801bb2f1690940487f1a089059dc,1.5,课程评估
直线经理会不会培养下属就看这两点,ee38272530a13e1e5f1c328cddc6d622,1,课程评估
把握这两点，直线经理就抓住了绩效的核心,3161c85b7091f5040e78a053f0f807e7,2,课程评估
战略性人力资源，知道这几点就够了,ae2638c8563ce4b5721a1e0595417ce0,1.5,课程评估
分分钟掌握人力资源战略规划秘籍,388d345008403051599d9bda7b2a6257,1,课程评估
组织结构体系设计不可不知的要点,dec21f432235277d60fe597dc08f34e2,1,课程评估
掌握培训术语，让你不再“尬聊”,cb809c3dc7f51be1cf85158eeb1b17f1,0.5,课程评估
绩效考评原来失败在这里（new）,7fb7c5f07b9a00f06a03ec6cbdf02638,1.5,课程评估
成功绩效管理的“1-2-3法则”（new）,9deb62ff8a5e82b85d81d0ee8ae9b717,1.5,课程评估
构建绩效考核指标体系，掌握这几点就够了,053be89829066dcc1085e892a1a75731,1.5,课程评估
教你绕开薪酬管理中的那些“坑”,fc2eb68c95cb4e0de3f4897217996e9a,1,课程评估
薪酬战略这么做就对了,b89c63962e5097a9a8d84a5b65789134,2,课程评估
情况不同计算不同，工资标准基数别弄错,905f694e988ea7318f6579379a19706b,0.2,课程评估
调岗不可任性，符合这两种情况才可以,a272557ce06332bdf84edea815d19841,0.2,课程评估
单方的调岗和解除关系如何操作才合规？,0d8322770e71edf305417548c6e6674e,0.2,课程评估
岗位变了薪资也要变吗？岗位如何约定才最有效,9ca1566ed3eb1d4b74a4bc7abeb0e11f,0.1,课程评估
违约调岗麻烦多，这样操作才不会错,3665367fe7333a1f756cd6f059dab3f6,0.2,课程评估
合同中的工作地点，任意约等于任意调？,202e47221ebef8c05fee9911f02bfd5f,0.2,课程评估
你可以解除任何人——由“客观情况重大变化”说起,ecc68d844a5ae8a602033d8fefacf9e8,0.2,课程评估
解除证据收集，HR如何显身手,54aa048e067d0b57f409c10c44640994,0.1,课程评估
严重违纪解除，HR该怎么做,bf2128a6bea5e671ab03c59e2d40c4ac,0.1,课程评估
员工二次固定期合同到期了，HR该怎么办,3351ca053aa8f019fc36d61d3f5d174a,0.1,课程评估
N、N+1、2N？离职补偿应该怎么算,d7ddf007b12e1f5b2a048f55d9341eb6,0.5,课程评估
劳动者要求继续履行劳动合同，怎么破？,20dd26df808893fe41273b398631dc25,0.2,课程评估
开展组织优化与岗位分析的意义,fa034e1cbac0c8b550b99965ade3d93c,0.2,课程评估
如何进行组织与岗位运行现状调研与诊断,62e5c3cf7a1b86effd77e9131ea5d1d1,0.2,课程评估
集团公司组织运行模式设计,81b310ff7cf4d7ae0c901ac7ba79f989,0.2,课程评估
单体公司组织运行模式设计,82bfcf9a43b83974e4d51c4482834bf5,0.2,课程评估
组织构架设计与岗位设置,ba9e49489e99418370200787574eb2cf,0.2,课程评估
其实这些，也是招聘的就业歧视,951ce0452df24655b8befd7660e254e3,0.5,课程评估
怎样写出无歧视又体现企业意图的招聘广告,49bc27d9fcbc00099fcb1e81033b7247,0.2,课程评估
背景调查这么做才妥当,386ee427bc7e62f14b9f11e1e08194e5,0.5,课程评估
怎样把握知情权与个人隐私权的分界线,44a89fbcc44f3b18d0a2d36668992f22,0.5,课程评估
如何摆平企业知情权与求职者隐私权之间的冲突,f79f1e119aac2dfd73dbfa49641af754,0.2,课程评估
造假=欺诈？一个入职一周宣布怀孕引发的故事,95aacb0b7b46eeb66203eaa98323190b,0.5,课程评估
员工签署声明保险吗？——学历和履历真实性辨认,0947336d4bb76558d22b787003f6b306,0.2,课程评估
没有离职证明的候选人，你该怎么应对,0ac4f153fd60f82804749c2f47853669,0.2,课程评估
如何避免因为“拒接录用”而引发纠纷,881e60e521a5908401b0733e998b8564,0.5,课程评估
减少加班成本的合法操作攻略,a675c577200d5aa92e5778974b408612,0.5,课程评估
那些困惑企业的常见加班问题,a052a417cde91f1ff0152fb03a745e0a,0.5,课程评估
岗位相同，就得同工同酬？,354964d7cda9ad7fb3399691bcf8f325,0.2,课程评估
哪些差别待遇不违反“同工同酬”,0fe44ca30785f4f5893457967c7b90b7,0.2,课程评估
这样做，就是违反“同工同酬”,cf1c0cb3a8548edf678195677f1b93c4,0.2,课程评估
工伤处理为何难？,0b3f10a84a1394c1e1d416987ec258b7,0.1,课程评估
教你判断这些情况到底算不算工伤,c8e1c1817f05865aa32ea4262f546d72,0.5,课程评估
30 、1、60， 工伤认定中的关键时限,0952d6d8c6e9329eef10855e1506931f,0.1,课程评估
你想问的这里有，工伤认定的三大常见问题,e6bdcb03e9a31e2f6ca8cc789874146b,0.2,课程评估
工伤待遇和费用付哪些，HR你要知道,720830258df7a1ef790f483c4f1c0c94,0.5,课程评估
不做背锅侠，工伤争议的常见法律救济途径,c34aebdedb01579e51bb371a5020b392,0.2,课程评估
劳动合同订立，这样的错误不要犯,8bd6cb2865ba88915aadb30e1ab15b44,0.5,课程评估
员工主动辞职，企业如何正确应对,4d6272aaedc0f757d5104f01e238660d,0.5,课程评估
公司单方解聘员工的正确操作方式,1217e4dc837e7f990b7fabff0685e712,0.2,课程评估
员工严重违纪，辞退操作不简单,5242a4f5fb77f0afaeb28efcfebabb26,0.5,课程评估
以为合理但不合法的三大解聘误区,e0d36b8ca4750ebe508c5a11c7205ca9,0.2,课程评估
经济补偿金算法的关键点,786432a0e96890e55ddd6d9ab3d6cea5,0.2,课程评估
不可不知的劳动争议的基础常识,42d7c3584709bc913fcd55a8c6d2063a,0.2,课程评估
只有这些，才属于劳动争议仲裁受案范围,1f7896dca3f8495c90ca3f6bba2cafa9,0.2,课程评估
劳动争议的时效和起算点，你一定要知道,df152ebca6e48bcc7049cb2fb31959d8,0.1,课程评估
小心套路，重新开始计算仲裁时效的三大理由,745550055c27ba7dcb3dc932e32e4d8f,0.5,课程评估
举证责任倒置是怎么一回事,fa90ca231787a7d0af1d0ce0d36304d1,0.2,课程评估
注意，这样的证据未必有效,ad361474fcf169854f6372fd01e6f4dc,0.1,课程评估
劳动仲裁或诉讼，这样才算是了结了,525499d6f32656e0c4858a75bc5d718c,0.1,课程评估
加班费计算的正确打开方式,cfa1b4be3a28a1d67bc5b6c96d1e13b9,0.2,课程评估
加班事实，谁来举证？,a46c20d4a73a1dffd2d1c98d98ebb557,0.2,课程评估
教你理清年假的那些似是而非的事,c74ff98ed6ab117ee15f8e1915ea7ccc,0.5,课程评估
不休年假带来的仲裁和诉讼那些事,e63c02f234e461342db2642a30877f81,0.2,课程评估
年假天数如何折算才不会错？,7a4b981fc0f8109dda5c09bd35710c45,0.1,课程评估
那些HR在试用期不知不觉犯过的错误,0c90208ff2c64339908e223376cbb7d2,0.5,课程评估
试用期不缴纳社保有哪些风险？,0d12645866b65345115d63824d73daa7,0.1,课程评估
试用期如何跟合法的跟员工解除劳动合同？,29f60f805405458b0c9bb0b22188d9f9,0.1,课程评估
试用期录用条件如何设置,dbdafecb3f9b937c52c0735398815fff,0.2,课程评估
如何心中有数？仲裁案件的整体要求,cae308c0eba110328b05abd77063f709,0.5,课程评估
那些一字千金的抗辩理由,2a3e58f2a799cb31b338cd00bd260c56,0.2,课程评估
举证质证，这些套路你要知道,fafec9e2ddeba28eaec2aaa3805125a5,0.5,课程评估
劳动争议诉讼程序不可不知的要点,e10fcd24998d000b53aeb8bb0171c257,0.2,课程评估
成熟公司股权架构的7条生命线,3b01c5a501bbedcdb4de71aa3bd7c75d,0.5,课程评估
GP、LP、 Angel 、VC，PE及IB都是什么鬼,193ddfd7ac0d3cc1c67ca718d6761106,0.2,课程评估
设计良好股权架构，你不知道的那些事,97fb7ec4593e0755bbcdbeaf9af022f6,0.5,课程评估
创业公司股权蛋糕该如何切?,732c49def3aee4daf3f2eacb9bd14430,0.1,课程评估
常见的股权授予模式——专治合伙人中途退出！,6147b6d40477385cd92f051394458289,0.5,课程评估
以控股为目的的增资怎么计算？,4315e1619ca2ea447a137b5b56296ade,0.1,课程评估
公司成熟后股权退出的七大方式,1bb7e67f9f3a215d4e8167a26f04319b,0.2,课程评估
小心，对赌协议的18个陷阱,3e566d227142bef45ac838f701a87825,0.5,课程评估
股权激励的8种形式,d6f68e9427d7b0ee6696f13704baf543,1,课程评估
让你轻松搞定虚拟股权激励方案的设计步骤,42a81a51f81aea8e0cfe0a2e1fc62117,0.5,课程评估
投其所好，5种方式让你找到适合的投资人,045b9d36c7d1d05c56bbfcca5e2711ea,0.5,课程评估
研究300家创业公司，我们发现6个投资人最关注的问题,b34c8f700ea23099f42b4d338090fa7b,0.2,课程评估
写的好还要讲的好，如何演示商业计划书,10c0a67cc23dab6a726d801e5a4bc934,0.2,课程评估
察言观色，如何判断投资人对项目感兴趣,0d888d5f0519232f7920a248822709d2,0.2,课程评估
依托廉洁教育基地 开展党风纪风课堂,2ff343fd034c42519c415fc5d82524f5,2,课程评估
梦想百万天使轮投资，没它可真不行,ff5f459906df1061017405feab241b4a,0.2,课程评估
花了3年，调研500家创业公司，发现商业计划书的三条铁律,e847ac81907ece1dbc9c21435e932fae,0.2,课程评估
天使轮融资百万，商业计划书要做哪些准备,0adbaa9b19ac950c7553a8d0f2ca8b35,0.2,课程评估
商业计划书框架和要素都不知道，还想融钱？,90f0a0786fa950ee02ea3f85d765211c,0.2,课程评估
商业计划书项目信息怎么写？看了就知道,72d91746083388df928a01242b34012a,0.5,课程评估
目标客户不清晰，写什么商业计划书都白费,bbf5a616d82aac2d471978b46a1482dc,0.2,课程评估
项目需求怎么描述，才能打动你的投资人？,138be798e5fdbafe7848e391204f6cf6,0.5,课程评估
项目解决方案怎么呈现，才能避免假大空,8de20fad865a948818c8ad462c0ce11f,0.2,课程评估
标准的商业计划书都从这6个方面描述项目阶段,d4d2ae24b9143ec21025b2c40af6c693,0.2,课程评估
10分钟告诉你怎样分析预测项目发展空间,5480de79cc66d91c99acbf21b1fa5ac7,0.5,课程评估
看了这么多商业计划书，高手都这样分析竞争对手,bc85eb3d338b5610e665811af8bc0af2,0.5,课程评估
没有盈利模式，想要融资就是痴人说梦,bd02d1ed2b9f88576bc5bfe247bb2123,0.2,课程评估
商业计划书如何展现项目推广才有效,d9bf6840c6c254b3b409d41e55c67cf6,0.5,课程评估
投资就是投人，商业计划书如何展现创始团队,39994bb7e755f302bd1192a2456e419d,0.5,课程评估
股权结构都不清晰，谁敢给你投资？,e4fe2701734ad96a85cdc1258e3de68b,0.5,课程评估
手机摄影达人-01器材认知,4ef09b06d90a418cabe7ef464994bb6b,1,课程评估
手机摄影达人-02构图基础,cd4c0b3911fe463e814edac25c576674,1,课程评估
手机摄影达人-03构图进阶,1aca82a79e7a4f0aa478db3a3492d7d7,1,课程评估
手机摄影达人-04平面构成,1dba249212d5462c95795499f4feab60,1,课程评估
手机摄影达人速成-05高级拍摄软件,a73167181a4c4e5e8bbe0e9e8a3a8be5,1,课程评估
手机摄影达人速成-06后期处理软件的用法,533163ee17ae476ba12e56647676e94d,1,课程评估
手机摄影达人速成-07特技及理念,5a19ad6f9fb6475aa59ee4682b8306bf,1,课程评估
定架构，定岗位，定编制，美世顾问都这么做,034ca15ebcd4630641c9ebb19c2a7a63,0.5,课程评估
人力资源规划中如何定权限，只凭职位？,f60bba4ae0059334c3d4989fa42c811f,0.2,课程评估
谁规定缺人就得招？美世顾问不这么看,fab0f036010c94c5b5aa27bf991c1573,0.5,课程评估
做人力资源规划，五个原则别忘了,04a040aa6682ed3964fcb32e20920006,0.5,课程评估
设计组织结构那些被人忽视的细节,118c9e1ef73a360ec84f42cf76a2510f,0.5,课程评估
组织结构设计的好不好就看这两点,028415cc236a227ce07ff6056b4ba6ff,0.5,课程评估
做薪酬激励，这五大原则员工最喜欢,0b806506ee570c5e873342565d9f03fa,0.5,课程评估
管理者绩效辅导的六大角色,753cf44c1b3cf1fa7a03575eeb49265f,0.5,课程评估
基于岗位序列的课程体系,8172b6929d14ee8a8c83514ede63a6e9,0.5,课程评估
如何选择关键岗位序列,217f91e234549d0afa8e6480b488ef81,0.5,课程评估
工作任务分析,192c8898350ce92dabe69adf00442327,0.5,课程评估
核心能力分析,af7d9c3eeb657f1f022c2fa15c8f4761,0.5,课程评估
学习目标分析,7d049004ac44777d027c7c7ad3e5699f,0.1,课程评估
学习任务分析,49b467e044f7b05bfc6944007ec1469f,0.5,课程评估
可视化课程体系—学习地图,dbc0a071285ff75e4f2d99cfaa76cd90,0.2,课程评估
什么叫学习,e3cc32d198f6e9a31313779e8d7b5923,0.2,课程评估
什么叫“有效学习”,90f800107cc81447d13b8b7e058bcc2d,0.5,课程评估
什么是学习体系,68fd87bf2b6456f7128bbe33aef78cf9,0.1,课程评估
有效学习体系的建立,400933a2c83ea96d57f713aec1476015,0.5,课程评估
解析文化管理，学会关注重点,08a46634fcd4b225e7e7bc3102ca31ba,0.5,课程评估
解读什么是流程及流程管理的“三个段位”,f05b50c95ca19bc52b47fbd34b303ac3,0.5,课程评估
流程建立和规范的步骤,742b02e9d7033fd5173d6479a62016f0,0.5,课程评估
流程优化与再造,fc4066ae24d948a591381afa9ec47e54,0.5,课程评估
如何向流程要效益,3595c912133df3e2f45a76bf8f5a455e,0.2,课程评估
锻造有理想有信念的马克思主义政党,ced19f0ed4b509d4829218a8b8b6de9a,1,课后测试
新形势下党内监督的总体要求,1cc69e18595a949bac2d1b3c6507dccd,1,课后测试
全面从严治党的光辉历程,7d1928a3c9081f048c203100f6af043d,1,课后测试
六中全会精神解读,41551e9b84147dde674997b1f57371b9,1,课后测试
严肃党内政治生活的价值指向,fd7524466444dc6b60f2404b8dd9378e,1,课后测试
专门监督机关、外部监督、整改与保障,e7000c28b371559c1b515c43123813e9,1,课后测试
发扬党内民主和保障党员权利,2102b6700d46ece66c5d990e24b8349e,1,课后测试
民主集中制——开展好党内政治生活的重要制度保障,f5169033ee014ca386a8427769ecadf5,1,课后测试
正确选人用人导向——严肃党内政治生活的组织保证,d9d85c459a462ce984d89e0b7862f958,1,课后测试
完善制约和监督机制，保证权力的正确运行,0d78af6e16e7fc09abba3f843e3317ea,1,课后测试
全面加强党内监督，增强 “四种能力”,592082d38459fa136caa72e32476482e,1,课后测试
如何做好设立初期股权结构的设计,1a2376b6fa97af4ba7664dcb2fe21628,0.1,课程评估
如何做好成长期股权结构的设计,887692582e2800d08d6ae21deb425651,0.1,课程评估
如何做好股权激励的整体设计,be362178b5b6f00e3c2f02ac1822afe4,0.1,课程评估
如何规划衰退期企业的组合激励模式,4732f06f097e4d8e98a56047fcd792b3,0.1,课程评估
如何基于激励对象选择组合激励模式,643acfbe21b0eaf0f497d143fc17650a,0.1,课程评估
如何规划初创期企业的组合激励模式,b28f4cb4d2361d24161517cc237013b1,0.1,课程评估
如何基于企业经营状况选择组合激励模式,b0f14779bc05e984cf1a31f6f9eedb14,0.2,课程评估
如何建立激励股权内部流通机制,5e49dbf0682ffe1901cd44756ef4102c,0.1,课程评估
如何通过激励方式与比例控制提高激励后的企业决策效率,06778c5bb808c4008d08b2629f8e98c7,0.1,课程评估
如何明确公司层面的行权条件,b7942f2870285bb83dffbc878fb88020,0.1,课程评估
如何根据岗位异动调整行权条件,f0cc0e908d98e4856bd5f25b8eafc2ec,0.1,课程评估
如何明确个人绩效层面的行权条件,d836f6e54989a59c36e61cfdf31b142b,0.1,课程评估
如何确定单个激励对象的额度,9689735fa835309892e48638ecd97947,0.1,课程评估
如何依据岗位的不可替代性做好股权激励,1b82328d1ac77353cfb968f1d86d54fa,0.1,课程评估
如何确定激励股票的分配对象,2894e3781aef6a7df77af8b61a98a132,0.1,课程评估
如何确定激励股票总额,303eeb9d7556f05bd52593c34f888451,0.1,课程评估
如何选择创业期企业的股权激励范围,d644b759785d5e1220ae5af0e57dd966,0.1,课程评估
如何确定子公司的股权激励范围,b562e31e461316f8af89ea9d4ca05184,0.1,课程评估
如何基于业绩表现确定企业股权激励的范围,2be5faa11341f087cc55d2f1f98044d2,0.1,课程评估
如何有效约定激励股权的回收价格,f3cff7ed1de0ec443785ccdd9638c0be,0.1,课程评估
如何通过协商确定激励股权转让价格,8cb3170d587e43146bf06ae3b7a29950,0.1,课程评估
如何运用折扣手段约定股权授予价格,bc7bcdde1e0e15e654b11bd067faa06e,0.1,课程评估
如何约定丧失行权资格的各种情况,09bd01408c34c3fab52ddfe2e3ac0069,0.1,课程评估
如何避免过高激励成本对吸纳投资的影响,1a815ac3e5e25731ac163f9dfaa8f820,0.1,课程评估
如何设置激励股权的等待期,38818036cee941f3c83278682975c430,0.1,课程评估
如何确定股权激励的授予日,2a2c9d65cce99c7f517d99e9c1247b0d,0.1,课程评估
如何确定激励股权禁售期,b85ae1f6c1efa0000cfd3194acbc4837,0.1,课程评估
如何明确激励股权的行权日,112ec7b5a298869628f033b9f31212dd,0.1,课程评估
纪律严明是党内政治生活规范有序的重要保障,a1dd7e5235e1e3175ddbeddaf9274b20,1.5,课后测试
建设廉洁政治坚决反对腐败是加强和规范党内政治生活的重要任务,78ac512072389ebafc275761e49d94a9,1,课后测试
全面解读《中国共产党党内监督条例》（上）,60e670ec234a2f1a8653c1a70791db98,1,课后测试
全面解读《中国共产党党内监督条例》（下）,78f72319d4fb4652e733ff40cffe7c78,2,课后测试
以党章党规为标尺，全面从严治党,1dc08d0c9b3b7293dcbea89a632ed095,1,课后测试
加强党的纪律建设，统一全党意志与行动,758bb0480ccb0692a50f84da886fd881,1,课后测试
坚定理想信念——开展好党内政治生活的首要任务,287d06405f3ff8ddc27322b6b3a418eb,1,课后测试
开辟全面从严治党新篇章——十八届六中全会精神概述,dbdf9a546184f49e5a9b498befa1560d,1,课后测试
全面解读《关于新形式下党内政治生活的若干准则》（上）,00d763533b6427e0b1de9df31176e989,1,课后测试
全面解读《关于新形式下党内政治生活的若干准则》（下）,ea4cf419689e70ddadb2566ec54f57c2,1,课后测试
胜任力模型概述,c52588c695dc116106a5f658de6135a7,0.5,课程评估
胜任力模型在人力资源规划中的应用,d092fbf80a06f37a915b7b3d5ebb8f2e,0.5,课程评估
胜任力模型在人才甄选中的应用,d9e0b02ea3c218ad99d6b40f1578db90,0.5,课程评估
胜任力模型在薪酬设计中的应用,82ee4e88d938d67b97fcb4b719c00b96,0.5,课程评估
胜任力模型在绩效管理中的应用,1d707b741eea10241e6d3c676fc67b89,0.5,课程评估
胜任力模型在培训与开发中的应用,a5d639c307a2cd2e9493d24341036bf5,0.5,课程评估
企业品牌与雇主品牌基础认知,cb9c00448bf3c1642d88a515d7df0666,1,课程评估
精准面试的核心流程及有效的面试技巧,9f3758b70c3c16671588b4ae5022a6e1,1,课程评估
面试前要做哪些重要准备,b984532e60031a4c0507a7873c1e2c22,0.5,课程评估
建立有效的选拔机制,f10aba0250709179b25b27ad9b8a3c96,0.5,课程评估
劳动合同签订相关政策解析,78613ea841ee6e494bd4c8bbdcdfb349,1,课程评估
解除劳动合同相关政策解析,d714ab11d87fdd5ae76f56467254b682,1,课程评估
企业规章制度合法有效的三个要件,e6e9ce772338d7942ee1b39ca9c8794e,1,课程评估
劳务派遣新规定与企业应对,d7d4b32da2a7a9021f4abbb7d73a9f1a,1,课程评估
HR必须了解的管理模型,3a087a762a2137799d747ebd9f6c7e58,0.5,课程评估
HRP-人力资源规划基础认知,22f9c50eef07282f4b44b4b0f69a9532,0.5,课程评估
高效招聘--对接战略的工作分析机制,a9b0b804e38a7c0f29a6f82796e17a32,1,课程评估
靠谱的面试官队伍建设三要素,3c36461517842d65f32ef2d5a7a53c8f,0.5,课程评估
适合企业实际的招聘渠道建设技巧,dc647a300242d7957d9c850919fc3c5a,0.5,课程评估
人才与价格的对等理念普及,0000ee411dc639b232d19d496338d37b,0.5,课程评估
HR薪酬谈判要点,9c40fd025a8c83299c1327b9a00c8884,1,课程评估
新员工入职管理的关键步骤,3fc169716af0ac0c1dd6ee3ab8a95f4a,1,课程评估
人力资源数据分析基础认知,b64795566e3017fe2a151a977805dbbc,0.5,课程评估
数据指标分析在人力资源管理中的应用,83e89a43bc9a89d5b833a56341430198,1,课程评估
流动指标分析在人力资源管理中的应用,16c634aba9bd605131fe4e35cb86170c,1,课程评估
结构指标分析在人力资源管理中的应用,3854680ee14578afa31c1027ff7e7252,0.5,课程评估
如何设计面试问题,3f16443423177d9bb7db29e702208ed2,2,课程评估
胜任力素质模型介绍,da0caa24864e3362a22566c2454c43ce,1,课程评估
如何提炼核心岗位胜任能力指标,c7741159243b68600b204277d3c6a3cd,1,课程评估
基于建构主义的控场技巧,639101504156ca3a13ce7254b07438fb,1.5,课程评估
解密建构主义教学,32273ae4f60d9f6d50226f5eb70eb693,1,课程评估
如何运用建构主义进行教学设计,8c624d1943af5981af3d202fb4e34a73,1,课程评估
绩效管理到底做不做,060d56e7a771da88de487207f49d7735,0.5,课程评估
绩效管理到底难在哪儿,cb88ca0e2e415105999ac920172fcc4a,0.5,课程评估
绩效管理到底考谁,4f7aadc941d97c3868e13b8b3faf1304,0.5,课程评估
绩效管理到底考什么,5269c1f20d899b962f6c761c43e56a24,1,课程评估
绩效管理到底如何辅导,76a9749ad9942e8764e0d1500b7f3666,0.5,课程评估
绩效管理到底如何反馈与运用,43fbb90f8b2a4f3096597d83bd73a6cb,0.5,课程评估
怎样才算成功的绩效管理,8f8a022769cbcc5ae4768725bd1f58d5,0.5,课程评估
正确认识移动互联时代的到来,ca8f31b63c4e95f18bcf060b6e604eb4,0.5,课程评估
移动互联时代如何进行知识管理,71ce0a45e96f5259b5ddd56eac574f5d,1,课程评估
组织知识管理如何落地,da3d157c80a7af4a74871dca56cf4062,0.5,课程评估
切实保障改善民生，加强社会建设,1848e7cdb24d9cfefed057148cc27262,1,课后测试
加强政府自身建设，提高施政能力和服务水平,3f21c0be86cc82573f105e80f2daaf10,1,课后测试
两会关注的民生热点,192591a241fe3dd4807249306b458872,1,课后测试
“十三五”发展新理念之共享：共享发展，进一步保障和改善民生,c2567453b2f8e7c98a6c15fa45d5fbfe,1,课后测试
供给侧的结构性改革,3836ac8d488ceef0e883320790e24950,1,课后测试
发展新经济，培育新动能,4bca541c1d8a2dd69d03298b0e9e91a1,1,课后测试
从2016年政府工作报告看中国大外交,deb75621d9d67f871d47ed9d81d96fb0,1,课后测试
从“十三五”规划看未来5年中国对外开放和国家安全,9197a8166fbbe74c1ef73f319e8500ba,1,课后测试
